fips,population,county,state,old_rate,rate,typology
21013,28691,Bell County,Kentucky,-16.01198982,-0.160119898,Evangelical Hubs
21015,118811,Boone County,Kentucky,14.4405821,0.144405821,Exurbs
21017,19985,Bourbon County,Kentucky,1.336002002,0.01336002,Rural Middle America
21019,49542,Boyd County,Kentucky,-2.585684873,-0.025856849,Working Class Country
21021,28432,Boyle County,Kentucky,7.674451322,0.076744513,Rural Middle America
21023,8488,Bracken County,Kentucky,-1.036757776,-0.010367578,Evangelical Hubs
21025,13878,Breathitt County,Kentucky,-1.152903877,-0.011529039,Evangelical Hubs
21027,20059,Breckinridge County,Kentucky,1.859514432,0.018595144,Working Class Country
21029,74319,Bullitt County,Kentucky,10.62716129,0.106271613,Rural Middle America
21031,12690,Butler County,Kentucky,-2.513790386,-0.025137904,Evangelical Hubs
21033,12984,Caldwell County,Kentucky,-2.580098583,-0.025800986,Working Class Country
21035,37191,Calloway County,Kentucky,-0.236616386,-0.002366164,College Towns
21037,90336,Campbell County,Kentucky,3.033120793,0.030331208,Middle Suburbs
21039,5104,Carlisle County,Kentucky,-5.446708464,-0.054467085,Evangelical Hubs
21041,10811,Carroll County,Kentucky,-0.009249838,-9.25E-05,Working Class Country
21043,27720,Carter County,Kentucky,-3.943001443,-0.039430014,Evangelical Hubs
21045,15955,Casey County,Kentucky,-0.087746788,-0.000877468,Evangelical Hubs
21047,73955,Christian County,Kentucky,-1.632073558,-0.016320736,Military Posts
21049,35613,Clark County,Kentucky,3.816022239,0.038160222,Rural Middle America
21051,21730,Clay County,Kentucky,-6.373676944,-0.063736769,Evangelical Hubs
21053,10272,Clinton County,Kentucky,-9.92017134,-0.099201713,Evangelical Hubs
21055,9315,Crittenden County,Kentucky,-3.488996243,-0.034889962,Evangelical Hubs
21057,6856,Cumberland County,Kentucky,-14.11901984,-0.141190198,Evangelical Hubs
21059,96656,Daviess County,Kentucky,6.886277106,0.068862771,Rural Middle America
21061,12161,Edmonson County,Kentucky,-0.287805279,-0.002878053,Evangelical Hubs
21063,7852,Elliott County,Kentucky,-6.342333164,-0.063423332,Evangelical Hubs
21065,14672,Estill County,Kentucky,-3.469193021,-0.03469193,Evangelical Hubs
21067,295803,Fayette County,Kentucky,9.048927834,0.090489278,College Towns
21069,14348,Fleming County,Kentucky,5.115695567,0.051156956,Evangelical Hubs
21071,39451,Floyd County,Kentucky,-8.894578084,-0.088945781,Evangelical Hubs
21073,49285,Franklin County,Kentucky,4.577457644,0.045774576,College Towns
21075,6813,Fulton County,Kentucky,-4.3739909,-0.043739909,African American South
21077,8589,Gallatin County,Kentucky,1.175922692,0.011759227,Working Class Country
21079,16912,Garrard County,Kentucky,0.24243141,0.002424314,Evangelical Hubs
21081,24662,Grant County,Kentucky,1.13129511,0.011312951,Working Class Country
21083,37121,Graves County,Kentucky,-1.27151747,-0.012715175,Evangelical Hubs
21085,25746,Grayson County,Kentucky,2.617882389,0.026178824,Working Class Country
21087,11258,Green County,Kentucky,-1.341268431,-0.013412684,Evangelical Hubs
21089,36910,Greenup County,Kentucky,-2.568409645,-0.025684096,Evangelical Hubs
21091,8565,Hancock County,Kentucky,6.187974314,0.061879743,Rural Middle America
21093,105543,Hardin County,Kentucky,4.888055106,0.048880551,Military Posts
21095,29278,Harlan County,Kentucky,-8.357811326,-0.083578113,Evangelical Hubs
21097,18846,Harrison County,Kentucky,-0.817149528,-0.008171495,Rural Middle America
21099,18199,Hart County,Kentucky,5.983845266,0.059838453,Evangelical Hubs
21101,46250,Henderson County,Kentucky,-3.15027027,-0.031502703,Working Class Country
21103,15416,Henry County,Kentucky,1.699532953,0.01699533,Working Class Country
21105,4902,Hickman County,Kentucky,-7.772337821,-0.077723378,Evangelical Hubs
21107,46920,Hopkins County,Kentucky,-3.190537084,-0.031905371,Evangelical Hubs
21109,13494,Jackson County,Kentucky,-3.994367867,-0.039943679,Evangelical Hubs
21111,741096,Jefferson County,Kentucky,5.65014519,0.056501452,Big Cities
21113,48586,Jessamine County,Kentucky,9.066397728,0.090663977,Exurbs
21115,23356,Johnson County,Kentucky,-2.894331221,-0.028943312,Evangelical Hubs
21117,159720,Kenton County,Kentucky,5.850237916,0.058502379,Middle Suburbs
21119,16346,Knott County,Kentucky,-12.81659121,-0.128165912,Evangelical Hubs
21121,31883,Knox County,Kentucky,-5.30063043,-0.053006304,Evangelical Hubs
21123,14193,Larue County,Kentucky,4.748819841,0.047488198,Rural Middle America
21125,58849,Laurel County,Kentucky,6.396030519,0.063960305,Evangelical Hubs
21127,15860,Lawrence County,Kentucky,2.730138714,0.027301387,Evangelical Hubs
21129,7887,Lee County,Kentucky,-6.238113351,-0.062381134,Evangelical Hubs
21131,11310,Leslie County,Kentucky,-7.046861185,-0.070468612,Evangelical Hubs
21133,24519,Letcher County,Kentucky,-12.11713365,-0.121171337,Evangelical Hubs
21135,13870,Lewis County,Kentucky,-5.695746215,-0.056957462,Evangelical Hubs
21137,24742,Lincoln County,Kentucky,-1.887478781,-0.018874788,Evangelical Hubs
21139,9519,Livingston County,Kentucky,-6.628847568,-0.066288476,Evangelical Hubs
21141,26835,Logan County,Kentucky,2.22470654,0.022247065,Evangelical Hubs
21143,8314,Lyon County,Kentucky,4.402213134,0.044022131,Graying America
21145,65565,McCracken County,Kentucky,3.523221231,0.035232212,Evangelical Hubs
21147,18306,McCreary County,Kentucky,-7.746094177,-0.077460942,Evangelical Hubs
21149,9531,McLean County,Kentucky,-3.976497744,-0.039764977,Rural Middle America
21151,82916,Madison County,Kentucky,11.80109991,0.118010999,College Towns
21153,13333,Magoffin County,Kentucky,-12.72031801,-0.12720318,Evangelical Hubs
21155,19820,Marion County,Kentucky,-1.205852674,-0.012058527,Working Class Country
21157,31448,Marshall County,Kentucky,0.670948868,0.006709489,Rural Middle America
21159,12929,Martin County,Kentucky,-12.70013149,-0.127001315,Evangelical Hubs
21161,17490,Mason County,Kentucky,-2.115494568,-0.021154946,Working Class Country
21163,28602,Meade County,Kentucky,4.898258863,0.048982589,Military Posts
21165,6306,Menifee County,Kentucky,-3.060577228,-0.030605772,Evangelical Hubs
21167,21331,Mercer County,Kentucky,6.141296704,0.061412967,Rural Middle America
21169,10099,Metcalfe County,Kentucky,1.851668482,0.018516685,Evangelical Hubs
21171,10963,Monroe County,Kentucky,3.420596552,0.034205966,Evangelical Hubs
21173,26499,Montgomery County,Kentucky,6.094569606,0.060945696,Rural Middle America
21175,13923,Morgan County,Kentucky,-1.414924944,-0.014149249,Evangelical Hubs
21177,31499,Muhlenberg County,Kentucky,-1.812755961,-0.01812756,Evangelical Hubs
21179,43437,Nelson County,Kentucky,7.599511937,0.075995119,Rural Middle America
21181,7135,Nicholas County,Kentucky,5.634197617,0.056341976,Evangelical Hubs
21183,23842,Ohio County,Kentucky,-0.29359953,-0.002935995,Working Class Country
21185,60316,Oldham County,Kentucky,12.08800318,0.120880032,Exurbs
21187,10841,Owen County,Kentucky,4.030993451,0.040309935,Evangelical Hubs
21189,4755,Owsley County,Kentucky,-14.80546793,-0.148054679,Evangelical Hubs
21191,14877,Pendleton County,Kentucky,-1.566175976,-0.01566176,Evangelical Hubs
21193,28712,Perry County,Kentucky,-0.83240457,-0.008324046,Evangelical Hubs
21195,65024,Pike County,Kentucky,-9.773314469,-0.097733145,Evangelical Hubs
21197,12613,Powell County,Kentucky,4.091017204,0.040910172,Evangelical Hubs
21199,63063,Pulaski County,Kentucky,3.125445983,0.03125446,Evangelical Hubs
21201,2282,Robertson County,Kentucky,-3.900087642,-0.039000876,Working Class Country
21203,17056,Rockcastle County,Kentucky,-5.974437148,-0.059744371,Evangelical Hubs
21205,23333,Rowan County,Kentucky,5.695795654,0.056957957,College Towns
21207,17565,Russell County,Kentucky,2.425277541,0.024252775,Evangelical Hubs
21209,47173,Scott County,Kentucky,21.16040956,0.211604096,Exurbs
21211,42074,Shelby County,Kentucky,14.2391976,0.142391976,Exurbs
21213,17327,Simpson County,Kentucky,13.08362671,0.130836267,Working Class Country
21215,17061,Spencer County,Kentucky,14.23714905,0.142371491,Rural Middle America
21217,24512,Taylor County,Kentucky,6.164327676,0.061643277,Evangelical Hubs
